0,APP ID,description,class
1,1204813828,"Play and take care of kids favorite pet friends kitty Kiki and puppy Fifi! Wash, brush, style and design beautiful outfits and colorful haircuts for fluffy little cat and dog.

Have fun with two sweet pet friends Kiki and Fifi! Give a bubble bath, brush teeth, style hair, design perfect outfits and make a crazy pet toy for your furry virtual pets. Build, decorate and create a cozy pet house and learn how to clean a litter box. Play the best pet game for kids who want to take care of their little animal friends!

Spend the most amazing day with your new mini virtual pets: 
· Play and take care of two happy playmates kitty Kiki and puppy Fifi!
· NEW! Comb, curl and straighten Kiki's and Fifi's colorful hair!
· NEW! Free your imagination and make a super cool pet toy!
· NEW! Play and learn how to brush teeth for the cutest cat and dog!
· NEW! Clean up the litter box and decorate it as you wish!
· Give a warm bubble bath for the most adorable kitty and puppy!
· Mix and match the cutest pet clothes and dress up Kiki and Fifi!
· Prepare delicious pet food for hungry kitty and puppy!
· Fix, paint and decorate Kiki and Fifi’s little pet house!
· Play Kiki & Fifi Pet Friends game every day and collect all gift awards!
· Watch videos for kids and get bonus coins for new exciting game items!

- - - - - - - - - - - - - - - - - - - - - - - -

ABOUT TutoTOONS Games for Kids
Crafted and play-tested with kids and toddlers, TutoTOONS games cherish the childhood and help children learn the basic life skills through games they love.
Dress up games can develop creativity and art skills, cleanup games build good everyday habits, cooking games show how to help parents at home, pet games teach to share and care. These are just a few examples how TutoTOONS games let children explore the world around them and develop on their screen time.

PRIVACY
This app is free to play but there are certain in-game items that may be purchased for real money. By downloading this app you agree to TutoTOONS Privacy Policy and Terms of Use.

Discover more fun with TutoTOONS!
Play our games: http://tutotoons.com/games
Like us on Facebook: https://www.facebook.com/tutotoonsgames
Subscribe our YouTube channel: https://goo.gl/3FsX1j 
Subscribe our newsletter for families (coming soon): http://eepurl.com/bUWUTj",0
2,893911044,"This game has no ads and is optimized for kids. 


The application helps children develop their vocabulary and their perception of objects and beings. 

The Kids will learn in an interactive mode about the: 
- Alphabet; 
- Numbers; 
- Domestic Animals 
- Colors; 
- Shapes; 
- Vegetables; 
- Fruits; 

The images are accompanied by the pronunciation in the Portuguese language and other specific sounds. 

The voice sounds (female voice) are professionally recorded in studio. 

The App has 10 levels: 
1. Learn - browse through the various educational items or let the app play them automatically for you. Kids can press on the images and the corresponding sounds will play. The kids can learn the animals, the shapes, the letters, the numbers, the vegetables and the fruits; 

2. Play with colors - learn colors and test your colors knowledge skills. Choose between a mix of colors to find one by one the correct items; 

3. Sort Vegetables - Gather each vegetable to the corresponding basket; 

4. Labyrinth - Collect the Letters written on the Eggs and find the animals to complete the entire words; 

5. Jump - Jump to collect fruits, vegetables, letters and numbers; 

6. Match - Drag the shapes to the corresponding location to form a new funny image and watch the end animation; 

7. Drop - Run and catch the falling items: fruits, vegetables, numbers and letters; 

8. Shaped Fence - Create a fence around the sheep by touching the numbers in order and discover the shape; 

9. Play games - A) connect the colors to the animals and watch the animals change their color; B) Help the cat cross the road through the walking dogs; 

10. Test - test your animals knowledge skills. Choose between the animals in order to find the correct one. 

Rewarding System - after each level the kids will be awarded stars according to the level completion percentage. 

Information personalized to the children's need of discovery, together with new tests and games will be added periodically to the list of interactive tools. 

Sound doesn't work? Increase the volume and check that your device is not set to Mute. You can find the Mute switch and and the volume buttons on the side of your device.",0
3,1389887500,An augmented reality football experience that overlays a football field in your immediate surroundings. This dynamic field goal challenge requires an intricate balance of kick strength and wind compensation to send the ball between the goal posts for a maximum score.,0
4,1102053389,"100% OFFLINE - No internet/wifi access needed!

Welcome to the Fluo! family of language learning tools : the easy way to success!

- 10's of thousands of entries
- super-fast bi-directional search (from/to English)
- search-able alphabetical (+phonetical) index
- translations by part of speech (nouns, adjectives, verbs, etc)
- clickable entries
- 100% offline - no internet access needed
- very fast and responsive search
- easy-to-use intuitive user interface",0
5,856686608,"√ Ease through Menopause Without Medications using Traditional Chinese Massage Points 
√ Easily find the right Massage Points with simple Full HD Videoclips and Photos in the App
√ Never forget a Massage with a built-in Reminder 
√ No Ads in The App! 

""In short, it [Acupressure] provides maximum benefits without the dangerous side effects associated with many of the approaches of conventional medicine."" 
-William Michael Cargile, B.S., D.C., F.I.A.C.A., Chairman of Research for the American Association of Acupuncture and Oriental Medicine 

The Menopause-Acupressure is perfectly suitable for you with these immediate benefits: 

√ You do not need to spend time visiting a doctor. 
√ You do not need to spend a considerable amount of money. 
√ There is no danger of being hurt or hurt your child, infected or experiencing pain. 
√ You massage the points gently with your own finger. 
√ The app reminds you automatically of your massage appointments. 

Here is what you can achieve with the App right now: 
- Ease heavy bleedings 
- Relieve painful bleedings 
- Relieve headache 
- Lower blood pressure 
- Reduce nausea and vomitting 
- Ease heart pain 
- Get rid of mournfulness 
- Improve your sleep 
- Reduce your tiredness 
- Get rid of depression 

The massage points offered are: 
√ especially effective 
√ easy to find, no need for someone else's assistance 
√ shown with professional Full HD Photos and Videos 

""With the App, I could significantly reduce my menopause-related problems within days after the start of the self-treatment! A couple of weeks into the treatment I stopped having constant headaches and sleeplessness! The points are easy to find using the videos. I am so happy to have the App always on me, on my iPhone and iPad. Thanks, Dr. Bargak!""
-Mrs. Mueller, Manager at BMW in Germany 

Thousands have done it already. Download the App on your iPhone, iPad or iPod. It works also without internet connection (on the plane, abroad, on the train etc.) 

For a price of a cup of coffee, you get a proven Menopause-Helper for ever with free lifelong updates containing more massage points. If you are dissatisfied with the product, let me know and you will get your money worth back. 

Are you interested in more massage points? Share it on my Facebook page and get people interested. The larger the following, the faster you will get the update of the app. Free. 

Have Fun with the App! 

Your Dr. Bargak 


Have some questions? Feel free to get in touch: 
- Facebook: https://www.facebook.com/pages/Dr-Jakob-Bargak/162860007105206 
- Twitter: https://twitter.com/drbargak 
- E-Mail: doktorbargak@gmail.com",0
6,1102053394,"100% OFFLINE - No internet/wifi access needed!

Welcome to the Fluo! family of language learning tools : the easy way to success!

- 10's of thousands of entries
- super-fast bi-directional search (from/to English)
- search-able alphabetical (+phonetical) index
- translations by part of speech (nouns, adjectives, verbs, etc)
- clickable entries
- 100% offline - no internet access needed
- very fast and responsive search
- easy-to-use intuitive user interface",0
7,1373634581,"Bus driving in the midst of heavy traffic and pedestrians walking, crossing roads, is a heck of a job certainly for the amateur driver. Driving skills are put to test in this virtual simulation to become ultimate driver and master of city roads, pick and drop the passengers from the street to desired yet beautiful locations around the next-gen high graphics 3D virtual city, proceed each level by completing the exciting and challenging missions of game in time with minimum damage done to the vehicle. Don’t forget to refill fuel when the tank is running low. Open world map, incredible vehicles, wonderful interiors will make you feel a realistic bus driving experience! It's time to get on board and drive through mesmerizing streets! Enter the simulation world of bus driving! Get Bus Driver 2018 now!
Try to be the most famous bus driver. Prove yourself as the best. Bus driving had never been so easy and fun! This is the latest simulation game that many have been waiting for. Drive the bus and be safe on the road. 

KEY FEATURES
- Stunning 3D graphics.
- Smooth and realistic car handling (button or tilt).
- Many buses to choose from. 
- Pick and drop from stops as more as you want.
- Farther you ride, bigger you score
- Attribute upgrades.
- Challenging daily mission.
- Tilt your phone to rotate bus.
- Touch buttons to gas or brake bus.",0
8,1134559254,"Non-stop between Gatwick Airport and London Victoria

A free app to make your journey easier. Features include:
- Find your next train to Gatwick Airport or London Victoria
- Personalise the homepage with your flight details
- Find out which Gatwick terminal you need
- Check the status and platform numbers for Gatwick Express
- Twitter updates
- Buy tickets via the app for immediate travel
- Maps to help you find your way around Gatwick airport and Victoria station
- See London Underground status",0
9,392691735,"Program OrtoMistrz pozwoli Ci zapamiętać zasady gramatyki języka polskiego, poprzez rozwiązywanie szeregu testów z zakresu h-ch, u-ó, ż-rz. Aplikacja podzielona jest na dwie części. Możemy wziąć udział w teście składającym się z 10 pytań z danego zakresu materiału, bądź egzaminie - składającym się z dowolnej liczby pytań (maksymalnie 25), oraz dowolnych zestawów testów. Każdy test i egzamin kończy się oceną oraz procentową wartością poprawnych odpowiedzi. 
Dostępne są 3 poziomy trudności (z czego najtrudniejszy to słowa z krajowych dyktand).
Całość okraszona jest przyjemną, realistyczną grafiką, oraz płynnymi animacjami - co jeszcze bardziej przybliża użytkownika do prawdziwego testu z ortografii w szkole. Dodatkowo w każdej chwili możemy przejrzeć dzienniczek ucznia, w którym zapisane są wszystkie zdobyte przez nas oceny oraz inne przydatne informacje takie jak liczba rozpoczętych testów, liczba rozpoczęcia poszczególnych zakresów, ilość każdej ze zdobytych ocen i wiele więcej.  

Zalety:

- 3 poziomy trudności
- Pełna losowość pytań jak i odpowiedzi
- Płynne animacje
- Łącznie ponad 440 pytań !!!!
- Dzienniczek ucznia
- Konfigurowalne testy


Sprawdź także wersję przeznaczoną specjalnie dla iPad1/iPad2

--
Unique Application that allows you to practice your knowledge in polish language. Test your skills against 3 different tests with fully random questions. Nice animations and sound effects makes this application really usefull to test yourself in polish words. 

Features:

- 3 different levels
- Fully randomize questions and answers
- Smooth animations
- Over 440 questions !!
- Detailed statistics
- Configurable egzams

Checkout special iPad1/iPad2 version",0
10,1014497308,"Munis My Work allows users access to their Munis workflow queue. View and act on your Approvals, Notifications, and Alerts from your mobile device.

My Work is for use with Tyler Technologies' Munis Product Suite. A valid login to an existing Munis implementation is required. Munis version 10.3 or higher is required. Existing Munis customers should contact TSMS@tylertech.com for further assistance.",0
